S   UID   PID  PPID  C PRI  NI   RSS    SZ WCHAN  TTY          TIME CMD
S     0     1     0  0  80   0  5740  9438 -      ?        00:00:00 systemd
S     0     2     0  0  80   0     0     0 -      ?        00:00:00 kthreadd
S     0     3     2  0  80   0     0     0 -      ?        00:00:00 ksoftirqd/0
S     0     5     2  0  60 -20     0     0 -      ?        00:00:00 kworker/0:0H
S     0     7     2  0  80   0     0     0 -      ?        00:00:00 rcu_sched
S     0     8     2  0  80   0     0     0 -      ?        00:00:00 rcu_bh
S     0     9     2  0 -40   -     0     0 -      ?        00:00:00 migration/0
S     0    10     2  0 -40   -     0     0 -      ?        00:00:00 watchdog/0
S     0    11     2  0  80   0     0     0 -      ?        00:00:00 kdevtmpfs
S     0    12     2  0  60 -20     0     0 -      ?        00:00:00 netns
S     0    13     2  0  60 -20     0     0 -      ?        00:00:00 perf
S     0    14     2  0  80   0     0     0 -      ?        00:00:00 khungtaskd
S     0    15     2  0  60 -20     0     0 -      ?        00:00:00 writeback
S     0    16     2  0  85   5     0     0 -      ?        00:00:00 ksmd
S     0    17     2  0  99  19     0     0 -      ?        00:00:00 khugepaged
S     0    18     2  0  60 -20     0     0 -      ?        00:00:00 crypto
S     0    19     2  0  60 -20     0     0 -      ?        00:00:00 kintegrityd
S     0    20     2  0  60 -20     0     0 -      ?        00:00:00 bioset
S     0    21     2  0  60 -20     0     0 -      ?        00:00:00 kblockd
S     0    22     2  0  60 -20     0     0 -      ?        00:00:00 ata_sff
S     0    23     2  0  60 -20     0     0 -      ?        00:00:00 md
S     0    24     2  0  60 -20     0     0 -      ?        00:00:00 devfreq_wq
S     0    26     2  0  80   0     0     0 -      ?        00:00:00 kworker/0:1
S     0    28     2  0  80   0     0     0 -      ?        00:00:00 kswapd0
S     0    29     2  0  60 -20     0     0 -      ?        00:00:00 vmstat
S     0    30     2  0  80   0     0     0 -      ?        00:00:00 fsnotify_mark
S     0    31     2  0  80   0     0     0 -      ?        00:00:00 ecryptfs-kthrea
S     0    47     2  0  60 -20     0     0 -      ?        00:00:00 kthrotld
S     0    48     2  0  60 -20     0     0 -      ?        00:00:00 acpi_thermal_pm
S     0    49     2  0  60 -20     0     0 -      ?        00:00:00 bioset
S     0    50     2  0  60 -20     0     0 -      ?        00:00:00 bioset
S     0    51     2  0  60 -20     0     0 -      ?        00:00:00 bioset
S     0    52     2  0  60 -20     0     0 -      ?        00:00:00 bioset
S     0    53     2  0  60 -20     0     0 -      ?        00:00:00 bioset
S     0    54     2  0  60 -20     0     0 -      ?        00:00:00 bioset
S     0    55     2  0  60 -20     0     0 -      ?        00:00:00 bioset
S     0    56     2  0  60 -20     0     0 -      ?        00:00:00 bioset
S     0    57     2  0  80   0     0     0 -      ?        00:00:00 scsi_eh_0
S     0    58     2  0  60 -20     0     0 -      ?        00:00:00 scsi_tmf_0
S     0    59     2  0  80   0     0     0 -      ?        00:00:00 scsi_eh_1
S     0    60     2  0  60 -20     0     0 -      ?        00:00:00 scsi_tmf_1
S     0    62     2  0  80   0     0     0 -      ?        00:00:00 kworker/u2:3
S     0    66     2  0  60 -20     0     0 -      ?        00:00:00 ipv6_addrconf
S     0    79     2  0  60 -20     0     0 -      ?        00:00:00 deferwq
S     0    80     2  0  60 -20     0     0 -      ?        00:00:00 charger_manager
S     0    81     2  0  60 -20     0     0 -      ?        00:00:00 bioset
S     0   123     2  0  60 -20     0     0 -      ?        00:00:00 kpsmoused
S     0   160     2  0  60 -20     0     0 -      ?        00:00:00 kworker/0:1H
S     0   161     2  0  80   0     0     0 -      ?        00:00:00 kworker/0:3
S     0   162     2  0  80   0     0     0 -      ?        00:00:00 scsi_eh_2
S     0   163     2  0  60 -20     0     0 -      ?        00:00:00 scsi_tmf_2
S     0   164     2  0  60 -20     0     0 -      ?        00:00:00 bioset
S     0   239     2  0  60 -20     0     0 -      ?        00:00:00 raid5wq
S     0   271     2  0  60 -20     0     0 -      ?        00:00:00 bioset
S     0   299     2  0  80   0     0     0 -      ?        00:00:00 jbd2/sda1-8
S     0   300     2  0  60 -20     0     0 -      ?        00:00:00 ext4-rsv-conver
S     0   345     1  0  80   0  2676  7006 -      ?        00:00:00 systemd-journal
S     0   367     2  0  80   0     0     0 -      ?        00:00:00 kauditd
S     0   387     2  0  60 -20     0     0 -      ?        00:00:00 iscsi_eh
S     0   392     2  0  60 -20     0     0 -      ?        00:00:00 ib_addr
