UID   S  PID   PPID  PR  NI  SZ     RSS    WCHAN    TTY   TIME     CMD
0     S  1     0     0   1   0      38658048 0        ?     72       systemd
0     S  2     0     0   1   0      0      0        ?     0        kthreadd
0     S  3     2     0   1   0      0      0        ?     0        ksoftirqd/0
0     S  5     2     -20 1   0      0      0        ?     0        kworker/0:0H
0     S  7     2     0   1   0      0      0        ?     2        rcu_sched
0     S  8     2     0   1   0      0      0        ?     0        rcu_bh
0     S  9     2     0   1   0      0      0        ?     0        migration/0
0     S  10    2     0   1   0      0      0        ?     0        watchdog/0
0     S  11    2     0   1   0      0      0        ?     0        kdevtmpfs
0     S  12    2     -20 1   0      0      0        ?     0        netns
0     S  13    2     -20 1   0      0      0        ?     0        perf
0     S  14    2     0   1   0      0      0        ?     0        khungtaskd
0     S  15    2     -20 1   0      0      0        ?     0        writeback
0     S  16    2     5   1   0      0      0        ?     0        ksmd
0     S  17    2     19  1   0      0      0        ?     1        khugepaged
0     S  18    2     -20 1   0      0      0        ?     0        crypto
0     S  19    2     -20 1   0      0      0        ?     0        kintegrityd
0     S  20    2     -20 1   0      0      0        ?     0        bioset
0     S  21    2     -20 1   0      0      0        ?     0        kblockd
0     S  22    2     -20 1   0      0      0        ?     0        ata_sff
0     S  23    2     -20 1   0      0      0        ?     0        md
0     S  24    2     -20 1   0      0      0        ?     0        devfreq_wq
0     S  26    2     0   1   0      0      0        ?     17       kworker/0:1
0     S  28    2     0   1   0      0      0        ?     0        kswapd0
0     S  29    2     -20 1   0      0      0        ?     0        vmstat
0     S  30    2     0   1   0      0      0        ?     0        fsnotify_mark
0     S  31    2     0   1   0      0      0        ?     0        ecryptfs-kthrea
0     S  47    2     -20 1   0      0      0        ?     0        kthrotld
0     S  48    2     -20 1   0      0      0        ?     0        acpi_thermal_pm
0     S  49    2     -20 1   0      0      0        ?     0        bioset
0     S  50    2     -20 1   0      0      0        ?     0        bioset
0     S  51    2     -20 1   0      0      0        ?     0        bioset
0     S  52    2     -20 1   0      0      0        ?     0        bioset
0     S  53    2     -20 1   0      0      0        ?     0        bioset
0     S  54    2     -20 1   0      0      0        ?     0        bioset
0     S  55    2     -20 1   0      0      0        ?     0        bioset
0     S  56    2     -20 1   0      0      0        ?     0        bioset
0     S  57    2     0   1   0      0      0        ?     0        scsi_eh_0
0     S  58    2     -20 1   0      0      0        ?     0        scsi_tmf_0
0     S  59    2     0   1   0      0      0        ?     0        scsi_eh_1
0     S  60    2     -20 1   0      0      0        ?     0        scsi_tmf_1
0     S  62    2     0   1   0      0      0        ?     5        kworker/u2:3
0     S  66    2     -20 1   0      0      0        ?     0        ipv6_addrconf
0     S  79    2     -20 1   0      0      0        ?     0        deferwq
0     S  80    2     -20 1   0      0      0        ?     0        charger_manager
0     S  81    2     -20 1   0      0      0        ?     0        bioset
0     S  123   2     -20 1   0      0      0        ?     0        kpsmoused
0     S  160   2     -20 1   0      0      0        ?     0        kworker/0:1H
0     S  161   2     0   1   0      0      0        ?     0        kworker/0:3
0     S  162   2     0   1   0      0      0        ?     0        scsi_eh_2
0     S  163   2     -20 1   0      0      0        ?     0        scsi_tmf_2
0     S  164   2     -20 1   0      0      0        ?     0        bioset
0     S  239   2     -20 1   0      0      0        ?     0        raid5wq
0     S  271   2     -20 1   0      0      0        ?     0        bioset
0     S  299   2     0   1   0      0      0        ?     0        jbd2/sda1-8
0     S  300   2     -20 1   0      0      0        ?     0        ext4-rsv-conver
0     S  345   1     0   1   0      28696576 0        ?     2        systemd-journal
0     S  367   2     0   1   0      0      0        ?     0        kauditd
0     S  387   2     -20 1   0      0      0        ?     0        iscsi_eh
0     S  392   2     -20 1   0      0      0        ?     0        ib_addr
0     S  393   1     0   1   0      45846528 0        ?     4        systemd-udevd
0     S  397   1     0   1   0      97042432 0        ?     0        lvmetad
0     S  426   2     -20 1   0      0      0        ?     0        ib_mcast
0     S  428   2     -20 1   0      0      0        ?     0        ib_nl_sa_wq
0     S  435   2     -20 1   0      0      0        ?     0        ib_cm
0     S  443   2     -20 1   0      0      0        ?     0        iw_cm_wq
0     S  455   2     -20 1   0      0      0        ?     0        rdma_cm
0     S  503   2     -20 1   0      0      0        ?     0        iprt-VBoxWQueue
0     S  554   2     -20 1   0      0      0        ?     0        ttm_swap
100   S  657   1     0   2   0      102727680 0        ?     0        systemd-timesyn
0     S  776   1     0   3   0      282468352 0        ?     3        accounts-daemon
0     S  780   1     0   3   0      97652736 0        ?     0        lxcfs
0     S  782   1     0   1   0      29700096 0        ?     0        cron
0     S  785   1     0   1   0      4497408 0        ?     1        acpid
107   S  790   1     0   1   0      43925504 0        ?     1        dbus-daemon
0     S  807   1     0   1   0      26664960 0        ?     0        atd
0     S  808   1     0   1   0      29356032 0        ?     1        systemd-logind
0     S  809   1     0   6   0      143917056 0        ?     14       snapd
104   S  811   1     0   4   0      262541312 0        ?     0        rsyslogd
0     S  839   1     0   3   0      283734016 0        ?     0        polkitd
0     S  847   1     0   1   0      13688832 0        ?     0        mdadm
0     S  938   1     0   1   0      16506880 0        ?     0        dhclient
0     S  1018  1     0   1   0      67076096 0        ?     0        sshd
0     S  1039  1     0   1   0      5341184 0        ?     1        iscsid
0     S  1040  1     -10 1   0      5853184 0        ?     9        iscsid
0     S  1082  1     0   1   0      67407872 0        ?     0        login
1000  S  1469  1     0   1   0      46358528 ep_poll  ?     0        systemd
1000  S  1471  1469  0   1   0      62672896 0        ?     0        (sd-pam)
1000  S  1475  1082  0   1   0      23162880 do_wait  ?     3        bash
0     S  1493  1018  0   1   0      95051776 0        ?     0        sshd
1000  S  1524  1493  0   1   0      95051776 0        ?     0        sshd
1000  S  1525  1524  0   1   0      13185024 0        ?     0        sftp-server
0     S  1527  2     0   1   0      0      0        ?     4        kworker/u2:1
0     S  1553  2     0   1   0      0      0        ?     1        kworker/0:0
0     S  1554  2     0   1   0      0      0        ?     0        kworker/u2:0
1000  R  1564  1475  0   1   0      4489216 0        ?     0        a.out
